// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 1 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet  restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true in C:\Users\theiz\Documents\coding\DiscordBotSolution\discordbotnet\bin\Release\net8.0\3ffe1e04-399f-406c-9c1c-8fe4ccec97b1
// command took 1.33 sec and exited with 0
// start dotnet  build -c Release --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true in C:\Users\theiz\Documents\coding\DiscordBotSolution\discordbotnet\bin\Release\net8.0\3ffe1e04-399f-406c-9c1c-8fe4ccec97b1
// command took 17.22 sec and exited with 1
// start dotnet  build -c Release --no-restore --no-dependencies /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true in C:\Users\theiz\Documents\coding\DiscordBotSolution\discordbotnet\bin\Release\net8.0\3ffe1e04-399f-406c-9c1c-8fe4ccec97b1
// command took 3.58 sec and exited with 0
// ***** Done, took 00:00:22 (22.22 sec)   *****
// Found 1 benchmarks:
//   MyClass.BENCHNIGGA: DefaultJob

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)
// **************************
// Benchmark: MyClass.BENCHNIGGA: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet 3ffe1e04-399f-406c-9c1c-8fe4ccec97b1.dll --anonymousPipes 2888 2664 --benchmarkName DiscordBotNet.Bot+MyClass.BENCHNIGGA --job Default --benchmarkId 0 in C:\Users\theiz\Documents\coding\DiscordBotSolution\discordbotnet\bin\Release\net8.0\3ffe1e04-399f-406c-9c1c-8fe4ccec97b1\bin\Release\net8.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// BenchmarkDotNet v0.13.12
// Runtime=.NET 8.0.6 (8.0.624.26715), X64 RyuJIT AVX2
// GC=Concurrent Server
// HardwareIntrinsics=AVX2,AES,BMI1,BMI2,FMA,LZCNT,PCLMUL,POPCNT VectorSize=256
// Job: DefaultJob

OverheadJitting  1: 1 op, 177300.00 ns, 177.3000 us/op
WorkloadJitting  1: 1 op, 233600.00 ns, 233.6000 us/op

OverheadJitting  2: 16 op, 173800.00 ns, 10.8625 us/op
WorkloadJitting  2: 16 op, 217500.00 ns, 13.5938 us/op

WorkloadPilot    1: 16 op, 1300.00 ns, 81.2500 ns/op
WorkloadPilot    2: 32 op, 700.00 ns, 21.8750 ns/op
WorkloadPilot    3: 64 op, 900.00 ns, 14.0625 ns/op
WorkloadPilot    4: 128 op, 1000.00 ns, 7.8125 ns/op
WorkloadPilot    5: 256 op, 1300.00 ns, 5.0781 ns/op
WorkloadPilot    6: 512 op, 2100.00 ns, 4.1016 ns/op
WorkloadPilot    7: 1024 op, 3300.00 ns, 3.2227 ns/op
WorkloadPilot    8: 2048 op, 5500.00 ns, 2.6855 ns/op
WorkloadPilot    9: 4096 op, 9700.00 ns, 2.3682 ns/op
WorkloadPilot   10: 8192 op, 18400.00 ns, 2.2461 ns/op
WorkloadPilot   11: 16384 op, 46100.00 ns, 2.8137 ns/op
WorkloadPilot   12: 32768 op, 73000.00 ns, 2.2278 ns/op
WorkloadPilot   13: 65536 op, 256600.00 ns, 3.9154 ns/op
WorkloadPilot   14: 131072 op, 289500.00 ns, 2.2087 ns/op
WorkloadPilot   15: 262144 op, 673700.00 ns, 2.5700 ns/op
WorkloadPilot   16: 524288 op, 1198100.00 ns, 2.2852 ns/op
WorkloadPilot   17: 1048576 op, 2425300.00 ns, 2.3129 ns/op
WorkloadPilot   18: 2097152 op, 5484800.00 ns, 2.6154 ns/op
WorkloadPilot   19: 4194304 op, 9946700.00 ns, 2.3715 ns/op
WorkloadPilot   20: 8388608 op, 18907600.00 ns, 2.2540 ns/op
WorkloadPilot   21: 16777216 op, 36721200.00 ns, 2.1888 ns/op
WorkloadPilot   22: 33554432 op, 74620000.00 ns, 2.2238 ns/op
WorkloadPilot   23: 67108864 op, 115607100.00 ns, 1.7227 ns/op
WorkloadPilot   24: 134217728 op, 219682000.00 ns, 1.6368 ns/op
WorkloadPilot   25: 268435456 op, 422958800.00 ns, 1.5756 ns/op
WorkloadPilot   26: 536870912 op, 847021100.00 ns, 1.5777 ns/op

OverheadWarmup   1: 536870912 op, 903484200.00 ns, 1.6829 ns/op
OverheadWarmup   2: 536870912 op, 874299000.00 ns, 1.6285 ns/op
OverheadWarmup   3: 536870912 op, 855244200.00 ns, 1.5930 ns/op
OverheadWarmup   4: 536870912 op, 910793200.00 ns, 1.6965 ns/op
OverheadWarmup   5: 536870912 op, 874084800.00 ns, 1.6281 ns/op
OverheadWarmup   6: 536870912 op, 878330400.00 ns, 1.6360 ns/op
OverheadWarmup   7: 536870912 op, 870068300.00 ns, 1.6206 ns/op

OverheadActual   1: 536870912 op, 870459900.00 ns, 1.6214 ns/op
OverheadActual   2: 536870912 op, 858728300.00 ns, 1.5995 ns/op
OverheadActual   3: 536870912 op, 855669500.00 ns, 1.5938 ns/op
OverheadActual   4: 536870912 op, 937508400.00 ns, 1.7462 ns/op
OverheadActual   5: 536870912 op, 848280800.00 ns, 1.5800 ns/op
OverheadActual   6: 536870912 op, 901186400.00 ns, 1.6786 ns/op
OverheadActual   7: 536870912 op, 886677700.00 ns, 1.6516 ns/op
OverheadActual   8: 536870912 op, 855185700.00 ns, 1.5929 ns/op
OverheadActual   9: 536870912 op, 861358900.00 ns, 1.6044 ns/op
OverheadActual  10: 536870912 op, 871443700.00 ns, 1.6232 ns/op
OverheadActual  11: 536870912 op, 853292000.00 ns, 1.5894 ns/op
OverheadActual  12: 536870912 op, 867689100.00 ns, 1.6162 ns/op
OverheadActual  13: 536870912 op, 1042956000.00 ns, 1.9427 ns/op
OverheadActual  14: 536870912 op, 967648200.00 ns, 1.8024 ns/op
OverheadActual  15: 536870912 op, 1014867900.00 ns, 1.8903 ns/op

WorkloadWarmup   1: 536870912 op, 946500600.00 ns, 1.7630 ns/op
WorkloadWarmup   2: 536870912 op, 910011900.00 ns, 1.6950 ns/op
WorkloadWarmup   3: 536870912 op, 1313651100.00 ns, 2.4469 ns/op
WorkloadWarmup   4: 536870912 op, 1164001700.00 ns, 2.1681 ns/op
WorkloadWarmup   5: 536870912 op, 1041982000.00 ns, 1.9408 ns/op
