// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 1 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet  restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true in C:\Users\theiz\Documents\coding\DiscordBotSolution\discordbotnet\bin\Release\net8.0\06584355-e20a-416a-bb0f-b52b779b32c0
// command took 1.46 sec and exited with 0
// start dotnet  build -c Release --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true in C:\Users\theiz\Documents\coding\DiscordBotSolution\discordbotnet\bin\Release\net8.0\06584355-e20a-416a-bb0f-b52b779b32c0
// command took 18.61 sec and exited with 1
// start dotnet  build -c Release --no-restore --no-dependencies /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true in C:\Users\theiz\Documents\coding\DiscordBotSolution\discordbotnet\bin\Release\net8.0\06584355-e20a-416a-bb0f-b52b779b32c0
// command took 3.61 sec and exited with 0
// ***** Done, took 00:00:23 (23.8 sec)   *****
// Found 1 benchmarks:
//   MyClass.BENCHNIGGA: DefaultJob

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)
// **************************
// Benchmark: MyClass.BENCHNIGGA: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet 06584355-e20a-416a-bb0f-b52b779b32c0.dll --anonymousPipes 3028 3032 --benchmarkName DiscordBotNet.Bot+MyClass.BENCHNIGGA --job Default --benchmarkId 0 in C:\Users\theiz\Documents\coding\DiscordBotSolution\discordbotnet\bin\Release\net8.0\06584355-e20a-416a-bb0f-b52b779b32c0\bin\Release\net8.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// BenchmarkDotNet v0.13.12
// Runtime=.NET 8.0.6 (8.0.624.26715), X64 RyuJIT AVX2
// GC=Concurrent Server
// HardwareIntrinsics=AVX2,AES,BMI1,BMI2,FMA,LZCNT,PCLMUL,POPCNT VectorSize=256
// Job: DefaultJob

OverheadJitting  1: 1 op, 178500.00 ns, 178.5000 us/op
WorkloadJitting  1: 1 op, 4547400.00 ns, 4.5474 ms/op

OverheadJitting  2: 16 op, 192200.00 ns, 12.0125 us/op
WorkloadJitting  2: 16 op, 1747000.00 ns, 109.1875 us/op

WorkloadPilot    1: 16 op, 1340700.00 ns, 83.7938 us/op
WorkloadPilot    2: 32 op, 2191300.00 ns, 68.4781 us/op
WorkloadPilot    3: 64 op, 4576500.00 ns, 71.5078 us/op
WorkloadPilot    4: 128 op, 8819200.00 ns, 68.9000 us/op
WorkloadPilot    5: 256 op, 17313700.00 ns, 67.6316 us/op
WorkloadPilot    6: 512 op, 42047900.00 ns, 82.1248 us/op
WorkloadPilot    7: 1024 op, 69180500.00 ns, 67.5591 us/op
WorkloadPilot    8: 2048 op, 121898000.00 ns, 59.5205 us/op
WorkloadPilot    9: 4096 op, 168318800.00 ns, 41.0935 us/op
WorkloadPilot   10: 8192 op, 314692800.00 ns, 38.4146 us/op
WorkloadPilot   11: 16384 op, 592668000.00 ns, 36.1736 us/op

OverheadWarmup   1: 16384 op, 98700.00 ns, 6.0242 ns/op
OverheadWarmup   2: 16384 op, 43700.00 ns, 2.6672 ns/op
OverheadWarmup   3: 16384 op, 51100.00 ns, 3.1189 ns/op
OverheadWarmup   4: 16384 op, 35600.00 ns, 2.1729 ns/op
OverheadWarmup   5: 16384 op, 55000.00 ns, 3.3569 ns/op
OverheadWarmup   6: 16384 op, 51100.00 ns, 3.1189 ns/op

OverheadActual   1: 16384 op, 52400.00 ns, 3.1982 ns/op
OverheadActual   2: 16384 op, 35700.00 ns, 2.1790 ns/op
OverheadActual   3: 16384 op, 54300.00 ns, 3.3142 ns/op
OverheadActual   4: 16384 op, 51300.00 ns, 3.1311 ns/op
OverheadActual   5: 16384 op, 51500.00 ns, 3.1433 ns/op
OverheadActual   6: 16384 op, 50400.00 ns, 3.0762 ns/op
OverheadActual   7: 16384 op, 54500.00 ns, 3.3264 ns/op
OverheadActual   8: 16384 op, 61000.00 ns, 3.7231 ns/op
OverheadActual   9: 16384 op, 42300.00 ns, 2.5818 ns/op
OverheadActual  10: 16384 op, 35400.00 ns, 2.1606 ns/op
OverheadActual  11: 16384 op, 52700.00 ns, 3.2166 ns/op
OverheadActual  12: 16384 op, 50800.00 ns, 3.1006 ns/op
OverheadActual  13: 16384 op, 38500.00 ns, 2.3499 ns/op
OverheadActual  14: 16384 op, 35600.00 ns, 2.1729 ns/op
OverheadActual  15: 16384 op, 42400.00 ns, 2.5879 ns/op
OverheadActual  16: 16384 op, 47200.00 ns, 2.8809 ns/op
OverheadActual  17: 16384 op, 37500.00 ns, 2.2888 ns/op
OverheadActual  18: 16384 op, 38100.00 ns, 2.3254 ns/op
OverheadActual  19: 16384 op, 38700.00 ns, 2.3621 ns/op
OverheadActual  20: 16384 op, 37300.00 ns, 2.2766 ns/op

WorkloadWarmup   1: 16384 op, 609541700.00 ns, 37.2035 us/op
WorkloadWarmup   2: 16384 op, 597295600.00 ns, 36.4560 us/op
WorkloadWarmup   3: 16384 op, 660067800.00 ns, 40.2873 us/op
WorkloadWarmup   4: 16384 op, 604165600.00 ns, 36.8753 us/op
WorkloadWarmup   5: 16384 op, 608429700.00 ns, 37.1356 us/op
WorkloadWarmup   6: 16384 op, 616334700.00 ns, 37.6181 us/op
WorkloadWarmup   7: 16384 op, 584892100.00 ns, 35.6990 us/op

// BeforeActualRun
WorkloadActual   1: 16384 op, 594441500.00 ns, 36.2818 us/op
WorkloadActual   2: 16384 op, 615553900.00 ns, 37.5704 us/op
WorkloadActual   3: 16384 op, 634711500.00 ns, 38.7397 us/op
WorkloadActual   4: 16384 op, 584554600.00 ns, 35.6784 us/op
WorkloadActual   5: 16384 op, 616985100.00 ns, 37.6578 us/op
WorkloadActual   6: 16384 op, 610534200.00 ns, 37.2641 us/op
WorkloadActual   7: 16384 op, 617212400.00 ns, 37.6717 us/op
WorkloadActual   8: 16384 op, 603431600.00 ns, 36.8305 us/op
WorkloadActual   9: 16384 op, 613273800.00 ns, 37.4313 us/op
WorkloadActual  10: 16384 op, 617646400.00 ns, 37.6981 us/op
WorkloadActual  11: 16384 op, 596660800.00 ns, 36.4173 us/op
WorkloadActual  12: 16384 op, 621147800.00 ns, 37.9119 us/op
WorkloadActual  13: 16384 op, 600237600.00 ns, 36.6356 us/op
WorkloadActual  14: 16384 op, 597529800.00 ns, 36.4703 us/op
WorkloadActual  15: 16384 op, 642681700.00 ns, 39.2262 us/op
WorkloadActual  16: 16384 op, 641374300.00 ns, 39.1464 us/op
WorkloadActual  17: 16384 op, 628239700.00 ns, 38.3447 us/op
WorkloadActual  18: 16384 op, 622628500.00 ns, 38.0022 us/op
WorkloadActual  19: 16384 op, 594228900.00 ns, 36.2689 us/op
WorkloadActual  20: 16384 op, 601160900.00 ns, 36.6919 us/op
WorkloadActual  21: 16384 op, 601934600.00 ns, 36.7392 us/op
WorkloadActual  22: 16384 op, 591020500.00 ns, 36.0730 us/op
WorkloadActual  23: 16384 op, 620300200.00 ns, 37.8601 us/op
WorkloadActual  24: 16384 op, 766528500.00 ns, 46.7852 us/op
WorkloadActual  25: 16384 op, 805671800.00 ns, 49.1743 us/op
WorkloadActual  26: 16384 op, 714102200.00 ns, 43.5853 us/op
WorkloadActual  27: 16384 op, 719452800.00 ns, 43.9119 us/op
WorkloadActual  28: 16384 op, 739894000.00 ns, 45.1595 us/op
WorkloadActual  29: 16384 op, 666974500.00 ns, 40.7089 us/op
WorkloadActual  30: 16384 op, 729190100.00 ns, 44.5062 us/op
WorkloadActual  31: 16384 op, 747144500.00 ns, 45.6021 us/op
WorkloadActual  32: 16384 op, 687057000.00 ns, 41.9346 us/op
WorkloadActual  33: 16384 op, 682517400.00 ns, 41.6576 us/op
WorkloadActual  34: 16384 op, 696049900.00 ns, 42.4835 us/op
WorkloadActual  35: 16384 op, 644057700.00 ns, 39.3102 us/op
WorkloadActual  36: 16384 op, 603034500.00 ns, 36.8063 us/op
WorkloadActual  37: 16384 op, 626044700.00 ns, 38.2107 us/op
WorkloadActual  38: 16384 op, 674620100.00 ns, 41.1755 us/op
WorkloadActual  39: 16384 op, 684242600.00 ns, 41.7629 us/op
WorkloadActual  40: 16384 op, 717662100.00 ns, 43.8026 us/op
WorkloadActual  41: 16384 op, 681733000.00 ns, 41.6097 us/op
WorkloadActual  42: 16384 op, 676723400.00 ns, 41.3039 us/op
WorkloadActual  43: 16384 op, 698980500.00 ns, 42.6624 us/op
WorkloadActual  44: 16384 op, 692322900.00 ns, 42.2560 us/op
WorkloadActual  45: 16384 op, 708080000.00 ns, 43.2178 us/op
WorkloadActual  46: 16384 op, 660709000.00 ns, 40.3265 us/op
WorkloadActual  47: 16384 op, 650370700.00 ns, 39.6955 us/op
WorkloadActual  48: 16384 op, 650250200.00 ns, 39.6881 us/op
WorkloadActual  49: 16384 op, 651611600.00 ns, 39.7712 us/op
WorkloadActual  50: 16384 op, 643305900.00 ns, 39.2643 us/op
WorkloadActual  51: 16384 op, 721175500.00 ns, 44.0171 us/op
WorkloadActual  52: 16384 op, 724945400.00 ns, 44.2472 us/op
WorkloadActual  53: 16384 op, 712932200.00 ns, 43.5139 us/op
WorkloadActual  54: 16384 op, 757620200.00 ns, 46.2415 us/op
WorkloadActual  55: 16384 op, 657543200.00 ns, 40.1333 us/op
WorkloadActual  56: 16384 op, 659732500.00 ns, 40.2669 us/op
WorkloadActual  57: 16384 op, 792843200.00 ns, 48.3913 us/op
WorkloadActual  58: 16384 op, 780727100.00 ns, 47.6518 us/op
WorkloadActual  59: 16384 op, 736181100.00 ns, 44.9329 us/op
WorkloadActual  60: 16384 op, 733412600.00 ns, 44.7640 us/op
WorkloadActual  61: 16384 op, 672005800.00 ns, 41.0160 us/op
WorkloadActual  62: 16384 op, 735592800.00 ns, 44.8970 us/op
WorkloadActual  63: 16384 op, 706238600.00 ns, 43.1054 us/op
WorkloadActual  64: 16384 op, 720320500.00 ns, 43.9649 us/op
WorkloadActual  65: 16384 op, 683875500.00 ns, 41.7404 us/op
WorkloadActual  66: 16384 op, 719841700.00 ns, 43.9357 us/op
WorkloadActual  67: 16384 op, 686055300.00 ns, 41.8735 us/op
WorkloadActual  68: 16384 op, 734623300.00 ns, 44.8378 us/op
WorkloadActual  69: 16384 op, 693448200.00 ns, 42.3247 us/op
WorkloadActual  70: 16384 op, 742802900.00 ns, 45.3371 us/op
